customer_id,signup_date,region,acquisition_channel
10001,2022-03-07,South,Referral
10002,2023-07-19,North,Organic
10003,2023-04-23,North,Email
10004,2022-11-17,East,Organic
10005,2022-11-13,West,Referral
10006,2023-09-19,North,Social
10007,2022-03-04,North,Organic
10008,2023-05-25,South,Organic
10009,2022-05-28,West,Paid Search
10010,2022-03-10,North,Paid Search
10011,2023-01-20,West,Social
10012,2023-12-14,West,Paid Search
10013,2023-06-22,South,Paid Search
10014,2023-07-10,West,Email
10015,2023-06-08,East,Paid Search
10016,2023-07-28,East,Organic
10017,2023-01-10,South,Organic
10018,2022-04-04,West,Paid Search
10019,2023-09-06,West,Email
10020,2022-11-25,West,Organic
10021,2023-01-01,West,Paid Search
10022,2022-09-28,South,Organic
10023,2022-05-14,West,Email
10024,2023-11-08,West,Organic
10025,2023-07-25,North,Paid Search
10026,2023-04-16,North,Organic
10027,2022-10-21,South,Paid Search
10028,2023-08-24,West,Organic
10029,2023-02-03,South,Paid Search
10030,2022-11-20,East,Social
10031,2022-11-25,North,Organic
10032,2022-06-15,South,Social
10033,2022-03-09,East,Email
10034,2023-02-09,North,Paid Search
10035,2023-10-11,West,Email
10036,2022-02-16,North,Paid Search
10037,2023-09-19,West,Email
10038,2023-08-28,North,Social
10039,2022-07-22,West,Social
10040,2023-04-07,East,Organic
10041,2022-05-01,North,Email
10042,2023-07-08,North,Organic
10043,2023-05-27,North,Paid Search
10044,2022-09-16,East,Organic
10045,2022-02-19,West,Organic
10046,2023-12-10,South,Email
10047,2022-11-22,South,Social
10048,2023-10-14,East,Organic
10049,2023-05-10,East,Paid Search
10050,2023-07-23,East,Email
10051,2023-07-09,South,Referral
10052,2022-05-23,East,Email
10053,2022-09-23,West,Organic
10054,2022-12-07,South,Organic
10055,2022-12-30,North,Email
10056,2022-02-01,North,Organic
10057,2023-02-03,East,Referral
10058,2022-04-23,South,Referral
10059,2023-06-27,West,Referral
10060,2023-05-14,East,Organic
10061,2023-11-05,East,Email
