month,revenue,profit
2023-01,44669.15,21899.15
2023-02,49725.95,24265.95
2023-03,59461.65,28942.65
2023-04,60878.45,29825.45
2023-05,82164.9,39813.9
2023-06,70098.45,34329.45
2023-07,94349.45,45673.45
2023-08,102112.8,49590.8
2023-09,97652.7,47513.7
2023-10,114824.1,55191.1
2023-11,107577.75,52394.75
2023-12,113704.25,55647.25
2024-01,123671.35,60685.35
2024-02,93211.6,45183.6
2024-03,91498.1,44866.1
2024-04,79970.3,39085.3
2024-05,91775.75,44494.75
2024-06,90418.9,44036.9
2024-07,89972.0,43968.0
2024-08,92612.6,44777.6
2024-09,89449.8,43502.8
2024-10,89322.75,43812.75
2024-11,83272.35,40137.35
2024-12,87201.1,42456.1
